datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-23_16:38:25,nuc,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,2,2,8363,5962,46660,81344,34684,46660,270,0.000000,0.003906,0.177200,0.000000
2022-01-23_16:38:34,nuc,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,2,2,8785,6519,32924,65844,32920,32924,270,0.000000,0.003906,0.177200,0.000000
2022-01-23_16:38:50,nuc,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,2,4,8499,6216,33036,65972,32936,33036,308,0.000000,0.003906,0.177200,0.000000
2022-01-23_16:38:59,nuc,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,2,4,8626,6228,46504,81472,34968,46504,308,0.000000,0.003906,0.177200,0.000000
2022-01-23_16:39:14,nuc,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,2,4,8807,6529,32928,65924,32928,32996,308,0.000000,0.003906,0.177200,0.000000
2022-01-23_16:39:24,nuc,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,2,8,9572,7279,33408,66444,33036,33408,432,0.000000,0.003906,0.177200,0.000000
2022-01-23_16:39:40,nuc,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,2,8,9688,7298,46756,81380,34624,46756,432,0.000000,0.003906,0.177200,0.000000
2022-01-23_16:39:51,nuc,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,2,8,9770,7502,33068,65824,32756,33068,432,0.000000,0.003906,0.177200,0.000000
2022-01-23_16:40:07,nuc,../automation/jobs/gen/ds/small/18_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,2,16,12183,9911,33232,66216,32984,33232,720,0.000000,0.003906,0.177200,0.000000
2022-01-23_16:40:21,nuc,../automation/jobs/gen/ds/small/19_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,2,16,12314,9913,46764,81460,34696,46764,720,0.000000,0.003906,0.177200,0.000000
2022-01-23_16:40:37,nuc,../automation/jobs/gen/ds/small/20_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,2,16,12373,10058,32908,65836,32908,32928,720,0.000000,0.003906,0.177200,0.000000
